mode,attempt,packet_valid,snapshot_ok,error,clean_pred,test_pred,prediction_changed,logit_l1_diff,logit_max_abs_diff,margin_clean,margin_test,margin_drop,logits_plausible,n_violations,n_violations_in_window,n_violations_outside_window,n_clean_violations,n_neg_not_zeroed,n_pos_unexpectedly_zeroed,n_finite_wrong_value,max_abs_z1_delta,max_abs_a1_delta,max_abs_relu_error,relu_only_hint,first_bad_neuron,worst_bad_neuron,worst_bad_error
no_glitch_control,30,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,31,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,32,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,33,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,34,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,35,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,36,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,37,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,38,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,39,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,40,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,41,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,42,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,43,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,44,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,45,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,46,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,47,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,48,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,49,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
no_glitch_control,50,True,True,,9,9,False,0.0,0.0,0.17757368087768555,0.17757368087768555,0.0,True,0,0,0,0,0,0,0,0.0,0.0,0.0,False,,,0.0
